IDCIM10	LIB	IDCHAP	CODE1	NIVEAU	CODE2	LOGIN	STATUT	INTERDIT	FREQ
214	Sepsis à streptocoques, groupe A	0	A400	3			0	0	36
215	Sepsis à streptocoques, groupe B	0	A401	3			0	0	26
216	Sepsis à streptocoques, groupe D	0	A402	4			0	0	46
217	Sepsis à pneumocoques	0	A403	3			0	0	231
218	Autres s sepsis à streptocoques	0	A408	3			0	0	49
219	Sepsis à streptocoques, sans précision	0	A409	3			0	0	272
221	Sepsis à staphylocoques dorés	0	A410	4			0	0	465
222	Sepsis à staphylocoques coagulase-négatifs	0	A411	4			0	0	277
223	Sepsis à staphylocoques non précisés	0	A412	4			0	0	338
224	Sepsis à Haemophilus influenzae	0	A413	3			0	0	22
225	Sepsis à microorganismes anaérobies	0	A414	4			0	0	36
226	Sepsis à microorganismes Gram négatif SAI	0	A415	4			0	0	1911
227	Autres s sepsis précisées	0	A418	4			0	0	1286
230	Actinomycose pulmonaire	0	A420	2			0	0	3
231	Actinomycose abdominale	0	A421	2			0	0	4
232	Actinomycose cervico-faciale	0	A422	2			0	0	1
233	Sepsis actinomycosique	0	A427	3			0	0	3
234	Autres formes d'actinomycose	0	A428	2			0	0	5
235	Actinomycose, sans précision	0	A429	2			0	0	11
237	Nocardiose pulmonaire	0	A430	2			0	0	33
238	Nocardiose cutanée	0	A431	2			0	0	7
239	Autres formes de nocardiose	0	A438	2			0	0	13
240	Nocardiose, sans précision	0	A439	2			0	0	40
242	Bartonellose généralisée	0	A440	4			0	0	4
243	Bartonellose cutanée et cutanéo-muqueuse	0	A441	2			0	0	2
244	Autres formes de bartonellose	0	A448	2			0	0	2
245	Bartonellose, sans précision	0	A449	2			0	0	4
246	Érysipèle	0	A46	3			0	0	2956
248	Gangrène gazeuse	0	A480	4			0	0	77
249	Maladie des légionnaires (pulmonaire)	0	A481	3			0	0	117
250	Maladie des légionnaires, sans signes pulmonaires [fièvre de Pontiac]	0	A482	3			0	0	1
251	Syndrome du choc toxique	0	A483	4			0	0	81
253	Autres maladies bactériennes précisées	0	A488	2			0	0	132
255	Infection à staphylocoques, siège non précisé	0	A490	1		1	0	0	81
256	Infection à streptocoques, siège non précisé	0	A491	1		1	0	0	349
257	Infection à Haemophilus influenzae, siège non précisé	0	A492	1		1	0	0	10
258	Infection à Mycoplasma, siège non précisé	0	A493	1		1	0	0	9
259	Autres infections bactériennes, siège non précisé	0	A498	1		1	0	0	118
260	Infection bactérienne, sans précision	0	A499	1		1	0	0	454
262	Syphilis congénitale précoce, symptomatique	0	A500	2			0	0	1
263	Syphilis congénitale précoce, latente	0	A501	2			0	0	1
264	Syphilis congénitale précoce, sans précision	0	A502	2			0	0	1
266	Syphilis congénitale nerveuse tardive [neuro-syphilis juvénile]	0	A504	2			0	0	4
270	Syphilis congénitale, sans précision	0	A509	2			0	0	2
272	Syphilis génitale primaire	0	A510	2			0	0	7
274	Syphilis primaire d'autres localisations	0	A512	2			0	0	5
275	Syphilis secondaire de la peau et des muqueuses	0	A513	2			0	0	22
276	Autres formes de syphilis secondaire	0	A514	2			0	0	59
277	Syphilis précoce, latente	0	A515	2			0	0	4
278	Syphilis précoce, sans précision	0	A519	2			0	0	4
281	Syphilis nerveuse symptomatique	0	A521	2			0	0	19
282	Syphilis nerveuse asymptomatique	0	A522	2			0	0	3
283	Syphilis nerveuse, sans précision	0	A523	2			0	0	28
284	Autres formes tardives de syphilis symptomatique	0	A527	2			0	0	8
285	Syphilis tardive, latente	0	A528	2			0	0	1
286	Syphilis tardive, sans précision	0	A529	2			0	0	23
288	Syphilis latente, (non précisée précoce ou tardive)	0	A530	2			0	0	18
289	Syphilis, sans précision	0	A539	2			0	0	82
291	Infection gonococcique de la partie inférieure de l'appareil génito-urinaire, (sans abcès périurétral ou des glandes annexes)	0	A540	2			0	0	12
292	Infection gonococcique de la partie inférieure de l'appareil génito-urinaire, avec abcès périurétral et des glandes annexes	0	A541	2			0	0	1
293	Pelvipéritonite gonococcique et autres infections génito-urinaires gonococciques	0	A542	2			0	0	6
295	Infection gonococcique du système ostéo-articulaire et des muscles	0	A544	2			0	0	14
297	Infection gonococcique de l'anus et du rectum	0	A546	1			0	0	1
298	Autres infections gonococciques	0	A548	1			0	0	14
299	Infection gonococcique, sans précision	0	A549	1			0	0	4
300	Lymphogranulomatose vénérienne à Chlamydia	0	A55	1			0	0	5
302	Infection à Chlamydia de la partie inférieure de l'appareil génito-urinaire	0	A560	1			0	0	2
303	Infection à Chlamydia, pelvi-péritonéale et des autres organes génito-urinaires	0	A561	1			0	0	4
304	Infection à Chlamydia de l'appareil génito-urinaire, sans précision	0	A562	1			0	0	6
305	Infection à Chlamydia de l'anus et du rectum	0	A563	1			0	0	3
307	Infection à Chlamydia transmise par voie sexuelle, autres localisations	0	A568	1			0	0	4
308	Chancre mou	0	A57	1			0	0	1
309	Granulome inguinal	0	A58	1			0	0	4
311	Trichomonase uro-génitale	0	A590	2			0	0	4
313	Trichomonase, sans précision	0	A599	2			0	0	2
315	Infection des organes génitaux par le virus de l'herpès: femme† (N77.0*–N77.1*), homme† (N51.–*)	0	A600	1			0	0	242
316	Infection de la marge cutanée de l'anus et du rectum, par le virus de l'herpès	0	A601	1			0	0	53
317	Infection ano-génitale par le virus de l'herpès, sans précision	0	A609	1			0	0	57
320	Condylomes anaux (vénériens)	0	A6300	1			0	0	226
321	Autres condylomes ano-génitaux (vénériens)	0	A6308	1			0	0	268
322	Autres maladies précisées dont le mode de transmission est essentiellement sexuel	0	A638	1			0	0	22
323	Maladie sexuellement transmise, sans précision	0	A64	1			0	0	12
326	Lésions initiales du pian	0	A660	1			0	0	2
328	Autres lésions cutanées précoces du pian	0	A662	1			0	0	2
329	Hyperkératose pianique	0	A663	1			0	0	7
330	Gommes et ulcères pianiques	0	A664	1			0	0	1
332	Lésions ostéo-articulaires pianiques	0	A666	1			0	0	3
335	Pian, sans précision	0	A669	1			0	0	1
343	Fièvre récurrente [borréliose] à poux	0	A680	2			0	0	1
345	Fièvre récurrente [borréliose], sans précision	0	A689	2			0	0	11
347	Stomatite ulcéro-nécrotique	0	A690	2			0	0	9
348	Autres infections dites de Vincent	0	A691	2			0	0	10
349	Maladie de Lyme	0	A692	1			0	0	73
352	Infection à Chlamydia psittaci	0	A70	1			0	0	2
355	Phase active du trachome	0	A711	1			0	0	1
356	Trachome, sans précision	0	A719	1			0	0	1
358	Conjonctivite à Chlamydia (H13.1*)	0	A740	1			0	0	1
359	Autres infections à Chlamydia précisées	0	A748	1			0	0	1
360	Infection à Chlamydia, sans précision	0	A749	1			0	0	16
362	Typhus épidémique à poux dû à Rickettsia prowazekii	0	A750	1			0	0	6
369	Fièvre pourprée à Rickettsia conorii	0	A771	2			0	0	7
374	Fièvre Q	0	A78	2			0	0	10
376	Fièvres des tranchées	0	A790	2			0	0	1
378	Autres types précisés de rickettsiose	0	A798	2			0	0	3
379	Rickettsiose, sans précision	0	A799	2			0	0	8
382	Poliomyélite paralytique aiguë, virus sauvage importé	0	A801	1			0	0	1
384	Poliomyélites paralytiques aiguës, autres et sans précision	0	A803	1			0	0	6
385	Poliomyélite aiguë non paralytique	0	A804	1			0	0	3
386	Poliomyélite aiguë, sans précision	0	A809	1			0	0	34
388	Maladie de Creutzfeldt-Jakob	0	A810	3			0	0	4
389	Panencéphalite sclérosante subaiguë	0	A811	3			0	0	3
390	Leucoencéphalopathie multifocale (progressive)	0	A812	3			0	0	151
391	Autres infections atypiques à virus, du système nerveux central	0	A818	3			0	0	1
392	Infection lente à virus, SAI	0	A819	3			0	0	2
405	Autres encéphalites virales transmises par des moustiques	0	A838	2			0	0	1
413	Encéphalite à entérovirus (G05.1*)	0	A850	2			0	0	1
414	Encéphalite à adénovirus (G05.1*)	0	A851	2			0	0	1
415	Encéphalite virale transmise par des arthropodes, sans précision	0	A852	2			0	0	1
416	Autres encéphalites virales précisées	0	A858	2			0	0	4
417	Encéphalite virale, sans précision	0	A86	2			0	0	63
419	Méningite à entérovirus (G02.0*)	0	A870	2			0	0	25
420	Méningite à adénovirus (G02.0*)	0	A871	2			0	0	1
421	Chorioméningite lymphocytaire	0	A872	2			0	0	257
422	Autres méningites virales	0	A878	1			0	0	16
423	Méningite virale, sans précision	0	A879	1			0	0	258
425	Fièvre exanthémateuse à entérovirus [exanthème de Boston]	0	A880	1			0	0	8
426	Vertige épidémique	0	A881	1			0	0	3
428	Infection virale du système nerveux central, sans précision	0	A89	1			0	0	3
429	Dengue [dengue classique]	0	A90	1			0	0	20
430	Fièvre hémorragique due au virus de la dengue	0	A91	1			0	0	1
435	Fièvre due au virus West-Nile	0	A923	1			0	0	1
436	Fièvre de la vallée du Rift	0	A924	1			0	0	1
441	Fièvre à phlébotome	0	A931	1			0	0	1
444	Fièvre virale transmise par des arthropodes, sans précision	0	A94	1			0	0	1
448	Fièvre jaune, sans précision	0	A959	1			0	0	2
452	Fièvre de Lassa	0	A962	1			0	0	1
461	Fièvre hémorragique avec syndrome rénal	0	A985	1			0	0	2
463	Fièvre hémorragique virale, sans précision	0	A99	1			0	0	6
465	Eczéma herpétique	0	B000	2			0	0	64
466	Dermite vésiculaire due au virus de l'herpès	0	B001	2			0	0	111
467	Gingivo-stomatite et pharyngo-amygdalite due au virus de l'herpès	0	B002	2			0	0	221
468	Méningite due au virus de l'herpès (G02.0*)	0	B003	2			0	0	44
469	Encéphalite due au virus de l'herpès (G05.1*)	0	B004	2			0	0	36
470	Affections oculaires dues au virus de l'herpès	0	B005	2			0	0	10
471	Sepsis dû au virus de l'herpès	0	B007	3			0	0	65
472	Autres formes d'infection due au virus de l'herpès	0	B008	2			0	0	118
473	Infection due au virus de l'herpès, sans précision	0	B009	2			0	0	366
475	Méningite varicelleuse (G02.0*)	0	B010	2			0	0	6
476	Encéphalite varicelleuse (G05.1*)	0	B011	2			0	0	5
477	Pneumopathie varicelleuse (J17.1*)	0	B012	1			0	0	19
478	Varicelle avec autres complications	0	B018	1			0	0	19
479	Varicelle (sans complication)	0	B019	1			0	0	161
481	Encéphalite zostérienne (G05.1*)	0	B020	2			0	0	12
482	Méningite zostérienne (G02.0*)	0	B021	2			0	0	15
483	Zona accompagné d'autres manifestations neurologiques	0	B022	2			0	0	65
484	Zona ophtalmique	0	B023	2			0	0	65
485	Zona disséminé	0	B027	3			0	0	68
486	Zona avec autres complications	0	B028	2			0	0	72
487	Zona (sans complication)	0	B029	2			0	0	542
488	Variole	0	B03	1			0	0	1
491	Rougeole compliquée d'une encéphalite (G05.1*)	0	B050	2			0	0	1
492	Rougeole compliquée d'une méningite (G02.0*)	0	B051	2			0	0	4
493	Rougeole compliquée d'une pneumopathie (J17.1*)	0	B052	1			0	0	16
496	Rougeole avec autres complications	0	B058	1			0	0	8
497	Rougeole (sans complication)	0	B059	1			0	0	47
502	Verrues d'origine virale	0	B07	1			0	0	55
504	Autres infections à orthopoxvirus	0	B080	1			0	0	5
505	Molluscum contagiosum	0	B081	1			0	0	13
506	Exanthème subit [sixième maladie] [roséole infantile]	0	B082	1			0	0	6
507	Érythème infectieux [cinquième maladie] [mégalérythème épiémique]	0	B083	1			0	0	1
508	Stomatite vésiculaire avec exanthème, due à un entérovirus	0	B084	1			0	0	1
509	Pharyngite vésiculaire due à un entérovirus	0	B085	1			0	0	1
510	Autres infections virales précisées, caractérisées par des lésions cutanéo-muqueuses	0	B088	1			0	0	4
511	Infection virale caractérisée par des lésions cutanéo-muqueuses, sans précision	0	B09	1			0	0	51
513	Hépatite A avec coma hépatique	0	B150	1			0	0	4
514	Hépatite A (sans coma hépatique)	0	B159	1			0	0	111
516	Hépatite aiguë B avec agent delta, avec coma hépatique	0	B160	1			0	0	5
517	Hépatite aiguë B avec agent delta, sans coma hépatique	0	B161	1			0	0	43
518	Hépatite aiguë B sans agent delta, avec coma hépatique	0	B162	1			0	0	11
519	Hépatite (aiguë) B (sans agent delta et sans coma hépatique)	0	B169	1			0	0	448
521	(Sur)infection aiguë par agent delta d'un sujet porteur de l'hépatite B	0	B170	1			0	0	8
522	Hépatite aiguë C	0	B171	1			0	0	900
523	Hépatite aiguë E	0	B172	1			0	0	6
524	Autres hépatites virales aiguës précisées	0	B178	1			0	0	88
525	Hépatite virale aigüe, Hépatite aigüe sans précision	0	B179	1			0	0	53
527	Hépatite virale chronique B avec agent delta	0	B180	1			0	0	227
528	Hépatite virale chronique B sans agent delta	0	B181	1			0	0	3511
529	Hépatite virale chronique C	0	B182	1			0	0	7800
530	Autres hépatites virales chroniques	0	B188	1			0	0	56
531	Hépatite virale chronique, sans précision	0	B189	1			0	0	363
533	Hépatite virale, sans précision, avec coma	0	B190	1			0	0	6
534	Hépatite virale, sans précision, (sans coma)	0	B199	1			0	0	688
536	Maladie par VIH à l'origine d'une infection mycobactérienne	0	B200	1			0	0	421
537	Maladie par VIH à l'origine d'autres infections bactériennes	0	B201	1			0	0	438
538	Maladie par VIH à l'origine d'infections à cytomégalovirus	0	B202	1			0	0	181
539	Maladie par VIH à l'origine d'autres infections virales	0	B203	1			0	0	194
540	Maladie par VIH à l'origine de candidose	0	B204	1			0	0	117
541	Maladie par VIH à l'origine d'autres mycoses	0	B205	1			0	0	38
542	Maladie par VIH à l'origine d'une pneumopathie à Pneumocystis jirovecii	0	B206	1			0	0	142
543	Maladie par VIH à l'origine d'infections multiples	0	B207	1			0	0	112
544	Maladie par VIH à l'origine d'autres maladies infectieuses et parasitaires	0	B208	1			0	0	265
545	Maladie par VIH à l'origine d'une maladie infectieuse ou parasitaire non précisée	0	B209	1			0	0	956
547	Maladie par VIH à l'origine d'un sarcome de Kaposi	0	B210	2			0	0	922
548	Maladie par VIH à l'origine d'un lymphome de Burkitt	0	B211	2			0	0	57
549	Maladie par VIH à l'origine d'autres lymphomes non hodgkiniens	0	B212	2			0	0	288
550	Maladie par VIH à l'origine d'autres tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés	0	B213	2			0	0	57
551	Maladie par VIH à l'origine de tumeurs malignes multiples	0	B217	2			0	0	71
552	Maladie par VIH à l'origine d'autres tumeurs malignes	0	B218	2			0	0	39
553	Maladie par VIH à l'origine d'une tumeur maligne, sans précision	0	B219	2			0	0	4239
555	Maladie par VIH à l'origine d'une encéphalopathie	0	B220	3			0	0	340
556	Maladie par VIH à l'origine d'une pneumopathie lymphoïde interstitielle	0	B221	2			0	0	27
557	Maladie par VIH à l'origine d'un syndrome cachectique	0	B222	3			0	0	159
558	Maladie par VIH à l'origine de maladies multiples classées ailleurs	0	B227	2			0	0	342
560	Syndrome d'infection aiguë par VIH	0	B230	1			0	0	105
561	Maladie par VIH à l'origine d'adénopathies généralisées (persistantes)	0	B231	1			0	0	41
562	Maladie par VIH à l'origine d'anomalies hématologiques et immunologiques, non classées ailleurs	0	B232	2			0	0	267
563	Maladie par VIH à l'origine d'autres états précisés	0	B238	1			0	0	807
565	Pré-SIDA [ARC], sans précision	0	B24+0	1			0	0	8098
566	SIDA avéré, sans précision	0	B24+1	1			0	0	21977
567	Infection par le VIH, sans précision	0	B24+9	1			0	0	1400
569	Pneumopathie à cytomégalovirus (J17.1*)	0	B250	3			0	0	27
570	Hépatite à cytomégalovirus (K77.0*)	0	B251	3			0	0	29
571	Pancréatite à cytomégalovirus (K87.1*)	0	B252	3			0	0	1
572	Rétinite à cytomégalovirus	0	B258	3			0	0	542
573	Maladie à cytomégalovirus, sans précision	0	B259	3			0	0	790
575	Orchite ourlienne (N51.1*)	0	B260	1			0	0	1
576	Méningite ourlienne (G02.0*)	0	B261	2			0	0	2
577	Encéphalite ourlienne (G05.1*)	0	B262	2			0	0	6
579	Oreillons avec autres complications	0	B268	1			0	0	20
580	Oreillons (sans complication)	0	B269	1			0	0	1
582	Mononucléose due à herpèsvirus gamma	0	B270	1			0	0	35
583	Mononucléose à cytomégalovirus	0	B271	1			0	0	6
584	Autres mononucléoses infectieuses	0	B278	1			0	0	77
585	Mononucléose infectieuse, sans précision	0	B279	1			0	0	122
587	Kératoconjonctivite due à un adénovirus (H19.2*)	0	B300	1			0	0	1
589	Pharyngo-conjonctivite virale	0	B302	1			0	0	2
592	Conjonctivite virale, sans précision	0	B309	1			0	0	3
594	Myalgie épidémique	0	B330	1			0	0	2
597	Infections à rétrovirus, non classées ailleurs	0	B333	2			0	0	138
598	Syndrome (cardio-)pulmonaire à hantavirus [hantavirus] [SPH] [SCPH] (J17.1)	0	B334	1			0	0	3
599	Autres maladies à virus précisées	0	B338	1			0	0	8
601	Infection entérovirale, siège non précisé	0	B340	1			0	0	9
602	Infection entérovirale, sans précision	0	B341	1			0	0	2
603	Infection coronavirale, siège non précisé	0	B342	1			0	0	1
604	Infection parvovirale, siège non précisé	0	B343	1			0	0	38
605	Infection papovavirale, siège non précisé	0	B344	1			0	0	4
606	Autres infections virales, siège non précisé	0	B348	1			0	0	21
607	Infection virale, sans précision	0	B349	1			0	0	247
609	Teigne de la barbe et du cuir chevelu	0	B350	1			0	0	3
610	Teigne de l'ongle	0	B351	1			0	0	27
612	Teigne du pied	0	B353	1			0	0	103
613	Teigne de la peau glabre	0	B354	1			0	0	11
616	Autres dermatophytoses	0	B358	1			0	0	9
617	Dermatophytose, sans précision	0	B359	1			0	0	37
619	Pityriasis versicolor	0	B360	2			0	0	20
621	Piedra blanche	0	B362	2			0	0	1
623	Autres mycoses superficielles précisées	0	B368	2			0	0	29
624	Mycose superficielle, sans précision	0	B369	2			0	0	92
626	Stomatite à Candida	0	B370	2			0	0	413
627	Candidose pulmonaire	0	B371	4			0	0	31
628	Candidose de la peau et des ongles	0	B372	3			0	0	104
629	Candidose de la vulve et du vagin (N77.1*)	0	B373	2			0	0	97
630	Candidose d'autres localisations uro-génitales	0	B374	4			0	0	33
631	Méningite à Candida (G02.1*)	0	B375	4			0	0	2
632	Endocardite à Candida (I39.8*)	0	B376	4			0	0	1
633	Sepsis à Candida	0	B377	4			0	0	378
634	Autres localisations de candidose	0	B378	3			0	0	324
635	Candidose, sans précision	0	B379	2			0	0	1977
646	Histoplasmose pulmonaire aiguë à Histoplasma capsulatum	0	B390	1			0	0	4
648	Histoplasmose pulmonaire à Histoplasma capsulatum, sans précision	0	B392	1			0	0	3
649	Histoplasmose disséminée à Histoplasma capsulatum	0	B393	2			0	0	21
650	Histoplasmose à Histoplasma capsulatum, sans précision	0	B394	1			0	0	8
652	Histoplasmose, sans précision	0	B399	1			0	0	23
654	Blastomycose pulmonaire aiguë	0	B400	3			0	0	2
655	Blastomycose pulmonaire chronique	0	B401	3			0	0	1
660	Blastomycose, sans précision	0	B409	3			0	0	2
