"NUM_HOPITAL"	"HOPITAL"	"POLE"	"POLE.LIB"	"CHEF.SERVICE"	"SERVICE"	"URM"	"URM.LIB"	"UH"	"UH.LIB"	"UA"	"VAL.DEB"	"VAL.FIN"	"UGIPOP"
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie vicerale"	903	"CHIR VISC AMBU"	5005	"15/12/2011"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"			777	"CONSULT.CHIRURGIE"	5003	"15/12/2011"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"			960	"C-VISCERALE ACTE LIBERAL"	5003	"15/12/2011"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Chirurgie viscerale SC"	82	"SC chirurgie digestive"	584	"SUR.CONT.VISCERALE"	816	"13/01/2004"	"03/02/2007"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Chirurgie viscerale SC"	82	"SC chirurgie digestive"	586	"S.C.VISCERALE CL.P"	816	"13/01/2004"	"03/02/2007"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Chirurgie viscerale SC"	82	"SC chirurgie digestive"	442	"SURV.CONT.CHIR."	4234	"01/01/2007"	"01/02/2012"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Chirurgie viscerale SC"	82	"SC chirurgie digestive"	448	"S.C.VISCERALE CL.P"	4234	"08/01/2007"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Chirurgie viscerale SC"	82	"SC chirurgie digestive"	901	"SUR. CONT.CHIR"	5004	"15/12/2011"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"DR LIDY"	"Geriatrie"	559	"Gerontologie"	424	"MEDECINE GERIATRIE LRB"	4414	"20/09/2005"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"DR LIDY"	"Geriatrie"	559	"Gerontologie"	416	"HOPITAL DE JOUR GERONTOLOGIE"	4428	"01/01/2002"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"DR LIDY"	"Geriatrie"	559	"Gerontologie"	428	"HORTELOUP DEMARQUAY"	4412	"01/01/2002"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Gynecologie"	74	"Gynecologie"	519	"GYNECOLOGIE"	712	"01/01/2008"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Gynecologie"	74	"Gynecologie"	533	"GYNECO-CL-PE"	712	"01/01/2008"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Gynecologie"	74	"Gynecologie"	529	"GYNECO-CL-PE"	712	"01/01/1992"	"01/01/2008"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Gynecologie"	74	"Gynecologie"	781	"ACTES IVG"	721	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Gynecologie"	74	"Gynecologie"	517	"HDJ GYNECOLOGIE"	738	"03/01/2008"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"CRN LRB"	74	"Gynecologie"	535	"HOSPITALISATION IVG"	721	"01/01/2008"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"CRN LRB"	74	"Gynecologie"	539	"HOSPITALISATION IVG"	721	"01/01/1992"	"01/01/2008"	
47	"Lariboisiere"	101	"Hematologie Oncologie Radiotherapie"	"PR TOBELEM"	"Hematologie Clinique"	200	"Angio-hematologie"	325	"JPALLEZ-HEMA"	2021	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	101	"Hematologie Oncologie Radiotherapie"	"PR TOBELEM"	"Hematologie Clinique"	200	"Angio-hematologie"	328	"THERAPIE VASCULAIRE"	2023	"01/01/2001"	"01/01/3000"	
47	"Lariboisiere"	101	"Hematologie Oncologie Radiotherapie"	"PR TOBELEM"	"Hematologie Clinique"	200	"Angio-hematologie"	327	"H-SEM-PALLEZ"	2027	"01/01/1992"	"12/01/1999"	
47	"Lariboisiere"	101	"Hematologie Oncologie Radiotherapie"	"PR TOBELEM"	"Hematologie Clinique"	200	"Angio-hematologie"	326	"SAIGNEES(REPRISE EFS)"	2048	"29/08/2002"	"23/01/2008"	
47	"Lariboisiere"	101	"Hematologie Oncologie Radiotherapie"	"PR TOBELEM"	"Hematologie Clinique"	200	"Angio-hematologie"	329	"H-J-H-VAQUEZ"	2048	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Hepato-gastro-enterologie"	600	"Hepato gastro enterologie"	118	"HOP SEM CACHERA 3EME ETAGE  PORTE 15"	4213	"01/01/1997"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Hepato-gastro-enterologie"	600	"Hepato gastro enterologie"	114	"RACHET 2ETG"	4214	"01/01/1997"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Hepato-gastro-enterologie"	600	"Hepato gastro enterologie"	917	"HOSP ACTIVITE LIBERALE"	4214	"22/09/2004"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Hepato-gastro-enterologie"	600	"Hepato gastro enterologie"	115	"LAMBLING 1ETG"	4215	"01/01/1997"	"01/08/2006"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Hepato-gastro-enterologie"	600	"Hepato gastro enterologie"	117	"HDJ CACHERA 3 ETG"	4216	"15/01/1999"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Hepato-gastro-enterologie"	600	"Hepato gastro enterologie"	119	"HOP DE JOUR GASTROLOGIE"	4216	"15/12/1995"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Hepato-gastro-enterologie"	600	"Hepato gastro enterologie"	916	"HDJ ACTIVITE LIBERALE"	4216	"27/08/2007"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Hepato-gastro-enterologie"	600	"Hepato gastro enterologie"	116	"HEPATO GASTRO SPE"	4299	"01/01/2002"	"09/08/2006"	
47	"Lariboisiere"	105	"DUNEGO"	"PR MARTEAU"	"Hepato-gastro-enterologie"	600	"Hepato gastro enterologie"	106	"HDJ Hepato-gastro-enterologie"		"01/01/2011"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR BERGMANN"	"Maladies infectieuses LRB"	20	"Medecine interne A"	588	"MEDECINE-A-4"	211	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR BERGMANN"	"Maladies infectieuses LRB"	20	"Medecine interne A"	587	"MEDEC-INF-A4                            "	212	"01/01/1992"	"31/12/2010"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR BERGMANN"	"Maladies infectieuses LRB"	20	"Medecine interne A"	596	"H.J.MED.INF                             "	248	"01/01/1997"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR BERGMANN"	"Maladies infectieuses LRB"	26	"Maladies infectieuses"	587			"01/01/2011"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR BERGMANN"	"Maladies infectieuses LRB"	26	"Maladies infectieuses"	589			"01/10/2010"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Maladies rares"	34	"Maladies rares neurologie"	502	"MALADIES RARES SNC"	351	"01/02/2006"	"01/01/2007"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Maladies rares"	34	"Maladies rares neurologie"	504	"MALADIES DE WILSON"	361	"01/02/2006"	"01/01/2007"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Maladies rares"	34	"Maladies rares neurologie"	534	"HJ MALADIES DE WILSON"	368	"24/02/2006"	"15/12/2006"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Maladies rares"	34	"Maladies rares neurologie"	555	"HJ-MALADIES RARES SNC"	358	"01/01/2006"	"31/03/2007"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Maladies rares"	34	"Maladies rares neurologie"	543	"HJ NEURO.EXP.FONC."	358	"09/07/2001"	"03/02/2007"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Maladies rares"	34	"Maladies rares neurologie"	439	"MALADIES RARES CERVCO"	351	"01/01/2007"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Maladies rares"	34	"Maladies rares neurologie"	243	"HJ MALADIES RARES CERVCO"	358	"13/03/2007"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Maladies rares"	34	"Maladies rares neurologie"	521	"HJ MALADIES DE WILSON"	368	"02/10/2006"	"17/01/2007"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Maladies rares"	35	"Maladie de Wilson"	337	"MALADIES DE WILSON"	361	"01/01/2007"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Maladies rares"	35	"Maladie de Wilson"	235	"HJ MALADIES DE WILSON"	368	"01/01/2007"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR BERGMANN"	"Medecine A"	20	"Medecine interne A"	582	"MEDECINE-A-2"	211	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR BERGMANN"	"Medecine A"	20	"Medecine interne A"	594	"MEDECINE-A-3"	211	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR GUILLAUSSEAU"	"Medecine B"	60	"Medecine B"	292	"MEDECINE-B-4"	611	"01/01/1992"	"01/08/1998"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR GUILLAUSSEAU"	"Medecine B"	60	"Medecine B"	298	"MEDECINE-B-5"	611	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR GUILLAUSSEAU"	"Medecine B"	60	"Medecine B"	299	"HOSPIT EN URGENCE"	611	"01/06/2001"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR GUILLAUSSEAU"	"Medecine B"	60	"Medecine B"	322	"MEDECINE-B-6"	611	"01/01/1992"	"01/08/1998"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR GUILLAUSSEAU"	"Medecine B"	60	"Medecine B"	323	"HOP-SEM-B-6"	617	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR GUILLAUSSEAU"	"Medecine B"	60	"Medecine B"	294	"H-J-E-AZERAD"	628	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR GUILLAUSSEAU"	"Medecine B"	60	"Medecine B"	295	"EXPLORATIONS SOMMEIL"	628	"01/09/1997"	"01/01/3000"	
47	"Lariboisiere"	107	"Medecine Geriatrie"	"PR GUILLAUSSEAU"	"Medecine B"	60	"Medecine B"	296	"BILAN ENERGETIQUE"	628	"01/09/1998"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR DALLY"	"Medecine interne toxicologie"	510	"Medecine interne addictologie"	131	"FEREOL"	4512	"01/01/2002"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR DALLY"	"Medecine interne toxicologie"	510	"Medecine interne addictologie"	141	"FIESSINGER"	4512	"01/01/2002"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR DALLY"	"Medecine interne toxicologie"	510	"Medecine interne addictologie"	143	"HDJ ADDICTOLOGIE"	4535	"08/10/2009"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Neonatalogie"	73	"Neonatalogie"	401	"UNITE NEONATALOGIE"	724	"16/10/2008"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Neonatalogie"	73	"Neonatalogie"	402	"UNITE NEONATOLOGIE"	724	"01/01/2010"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Neonatalogie"	73	"Neonatalogie"	526	"PEDIATRIE"	724	"01/01/1992"	"26/06/2004"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie"	100	"Neurochirurgie"	212	"HOSP.NEUROCHIRURGIE"	1018	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie"	100	"Neurochirurgie"	218	"N-CHIR-CL-P"	1018	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie"	100	"Neurochirurgie"	240	"N-CHIR-CL-P NEURORAD."	1018	"23/05/2008"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie"	100	"Neurochirurgie"	630	"NEURO-RADIO"	1018	"01/10/2006"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie"	100	"Neurochirurgie"	219	"DOULEUR NEUROCHIRURGIE"	1019	"01/01/2000"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie"	100	"Neurochirurgie"	220	"DOULEUR NEUROCHIR-CL-P"	1019	"18/04/2000"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie"	100	"Neurochirurgie"	216	"DOULEUR NEUROCHIRGIE"	1019	"01/01/1992"	"01/04/2000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie"	105	"Neurochirurgie"	121		905	"01/01/2007"	"29/10/2010"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie"	103	"Neurochirurgie"	418	"DOULEUR NEUROCHIRGIE"	1019	"19/06/2012"	"01/01/3000 ïŸ "	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie SC"	102	"SC neurochirurgie"	226	"SUR.CONT.NEURO.CHIR."	1016	"13/01/2004"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie SC"	102	"SC neurochirurgie"	227	"DOULEUR SC.NC"	1016	"13/01/2004"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie SC"	102	"SC neurochirurgie"	231	"SC.NC CLP"	1016	"13/01/2004"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie SC"	102	"SC neurochirurgie"	232	"SC. NC. CL-P NEURORAD."	1016	"23/05/2008"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie SC"	102	"SC neurochirurgie"	660	"NEURO-RADIO SUR.CONT"	1016	"01/10/2006"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie SC"	102	"SC neurochirurgie"	222	"REA-NEUROCHIRURGIE"	1016	"01/01/1992"	"14/01/2004"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie SC"	102	"SC neurochirurgie"	225	"REA-NC-CL-P"	1016	"27/03/1997"	"14/01/2004"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR GEORGES"	"Neurochirurgie"	105	"Neurochirurgie"	121		905	"01/01/2007"	"29/10/2010"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neurologie"	30	"Neurologie"	542	"NEUROLOGIE R. GARCIN"	311	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neurologie"	30	"Neurologie"	544	"A-THOMAS-N2"	311	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neurologie"	30	"Neurologie"	545	"A.V.C"	311	"17/10/2002"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neurologie"	30	"Neurologie"	640	"NEURO-RADIO"	311	"01/10/2006"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neurologie"	30	"Neurologie"	537	"A.V.C"	328	"17/10/2002"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neurologie"	30	"Neurologie"	541	"H-JOUR-NEURO"	328	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neurologie"	30	"Neurologie"	546	"H-SEM-R-GARC"	317	"01/01/1992"	"01/03/2000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR QUTENZA "	"Douleur"	30	"Douleur"	415	"HDJ QUTENZA"	311	"19/06/2012  "	"01/01/3000  "	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neuro-Vasculaire"	31	"Neuro-Vasculaire"	107			"01/01/2010"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neuro-Vasculaire"	31	"Neuro-Vasculaire"	109			"01/12/2010"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neuro-Vasculaire"	31	"Neuro-Vasculaire"	549	"U-S-I-NEURO.VASC.BABINSKI"	313	"01/01/1992"	"16/01/2004"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neuro-Vasculaire USI"	32	"USIN"	538	"A.V.C"	313	"17/10/2002"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neuro-Vasculaire USI"	32	"USIN"	553	"USIN-BABINSKI-N1"	313	"13/01/2004"	"01/01/3000"	
47	"Lariboisiere"	104	"Neurosciences Tete et Cou"	"PR CHABRIAT"	"Neuro-Vasculaire USI"	32	"USIN"	620	"NEURO-RADIO SOINS INT"	313	"01/10/2006"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Obstetrique"	75	"Obstetrique"	499	"OBSTETRIQUE"	711	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Obstetrique"	75	"Obstetrique"	523	"MATER-CL-PER"	711	"03/08/1994"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Obstetrique"	75	"Obstetrique"	522	"MATER-3"	711	"01/01/1992"	"01/04/2000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR BARRANGER"	"Obstetrique"	75	"Obstetrique"	524	"MATER-4"	711	"01/01/1992"	"01/04/2000"	
